Product Name,Manufacturer,Manufacturer Website,Supplement Category,Serving Size,Effectiveness Rating,Number of Ingredients,Research Rating,Nutrition Label Transparency Score,Ranking within Supplement Category,Ranking within all Supplement Products,Updated Month Day,Updated Year,Manufacturer Social Media,Similarity Index,Number of Active Ingredients,Calories per Serving,Protein per Serving,Protein Percent of Calories,Protein Percent of Serving Size,Nutrition Label Fat Content Transparency Score,Fat (%),Carbohydrates (%),Protein (%),Macros details
Fluxx Gaming,Fluxx Gaming,https://www.fluxxgaming.co.uk,Gaming Supplements,10g,1.67 out of 3,8,30 ,100%,23 out of 41 (middle third within category),"3,096 out of 4,597 (bottom third of all products)",October 16,2021,https://instagram.com/fluxxgaminguk,,,,,,,,,,,
Player 1 Gaming Fuel,Razorwire Energy,,Gaming Supplements,5g,1.66 out of 3,15,39 ,100%,24 out of 41 (middle third within category),"3,099 out of 4,597 (bottom third of all products)",December 05,2019,,,,,,,,,,,,
Madmonq,Madmonq,https://www.madmonq.gg,Gaming Supplements,"1 tablet
",1.65 out of 3,12,36 ,100%,25 out of 41 (middle third within category),"3,103 out of 4,597 (bottom third of all products)",March 24,2021,https://instagram.com/madmonq,Madmonq shares at least 75% of its ingredient profile with one other product,,,,,,,,,,
Clean Kill,Strom Sports Nutrition,https://www.stromsports.com,Gaming Supplements,"1 scoop
",1.62 out of 3,8,34 ,100%,26 out of 41 (middle third within category),"3,118 out of 4,597 (bottom third of all products)",March 23,2021,https://instagram.com/strom_sports_nutrition,,,,,,,,,,,
Professional Grade Gaming Formula,JuJu,https://jujuenergy.com/,Gaming Supplements,6.6g,1.60 out of 3,20,31 ,100%,28 out of 41 (bottom third within category),"3,820 out of 4,597 (bottom third of all products)",April 09,2021,https://instagram.com/jujuenergy,,,,,,,,,,,
Genius Gamer,The Genius Brand,https://thegeniusbrand.com,Gaming Supplements,"1 capsule
",1.57 out of 3,13,33 ,100%,29 out of 41 (bottom third within category),"3,887 out of 4,597 (bottom third of all products)",April 09,2021,https://instagram.com/thegeniusbrand,,,,,,,,,,,
LumUltra Game On,Avanse Nutraceuticals,https://www.lumultra.com,Gaming Supplements,"4 capsules
",1.56 out of 3,11,34 ,100%,30 out of 41 (bottom third within category),"3,892 out of 4,597 (bottom third of all products)",September 27,2020,https://instagram.com/lumultra,LumUltra Game On shares at least 75% of its ingredient profile with one other product,,,,,,,,,,
GamerBrain,GamerBrain,https://gamerbrain.com,Gaming Supplements,"1 scoop
",1.56 out of 3,11,33 ,100%,31 out of 41 (bottom third within category),"3,894 out of 4,597 (bottom third of all products)",May 18,2022,https://instagram.com/gamerbrainco,,,,,,,,,,,
Endurance Formula,Gamer Goat,https://www.gamergoat.com/,Gaming Supplements,7g,1.55 out of 3,22,29 ,100%,32 out of 41 (bottom third within category),"3,912 out of 4,597 (bottom third of all products)",December 15,2019,,,,,,,,,,,,
MIXT Energy,MIXT Energy,https://www.mixtenergy.net,Gaming Supplements,3.25g,1.45 out of 3,6,47 ,100%,33 out of 41 (bottom third within category),"3,983 out of 4,597 (bottom third of all products)",March 25,2021,https://instagram.com/mixtenergy,MIXT Energy shares at least 75% of its ingredient profile with one other product,,,,,,,,,,
GODMODE,Pyre Gamer,https://mypyre.com,Gaming Supplements,7.25g,1.72 out of 3,13,41 ,62%,34 out of 41 (bottom third within category),"4,282 out of 4,597 (bottom third of all products)",August 12,2020,https://instagram.com/pyre.demor,GODMODE shares at least 75% of its ingredient profile with 20 other products,,,,,,,,,,
GG Energy,Gamer Supps,,Gaming Supplements,1.6g,1.71 out of 3,19,31 ,37%,35 out of 41 (bottom third within category),"4,294 out of 4,597 (bottom third of all products)",December 05,2019,,,,,,,,,,,,
Exploit,K1 Performance,https://k1.gg,Gaming Supplements,8.6g,1.70 out of 3,25,28 ,44%,36 out of 41 (bottom third within category),"4,312 out of 4,597 (bottom third of all products)",December 25,2020,https://instagram.com/k1fuel,,,,,,,,,,,
Game On,Muscle Blaze,https://www.muscleblaze.com,Gaming Supplements,8g,1.67 out of 3,17,29 ,82%,37 out of 41 (bottom third within category),"4,362 out of 4,597 (bottom third of all products)",October 01,2021,https://instagram.com/muscleblaze,,,,,,,,,,,
Bioshock,DBL XP Labs,https://dblxplabs.com,Gaming Supplements,6.3g,1.53 out of 3,12,27 ,42%,38 out of 41 (bottom third within category),"4,477 out of 4,597 (bottom third of all products)",March 24,2021,https://instagram.com/dblxplabs,,,,,,,,,,,
GG Energy and Nootropic Formula,Gamer Supps,,Gaming Supplements,1.3g,1.50 out of 3,11,31 ,27%,39 out of 41 (bottom third within category),"4,485 out of 4,597 (bottom third of all products)",December 05,2019,,,,,,,,,,,,
Cyber Skills,Activat3d,https://activat3d.com,Gaming Supplements,15g,1.45 out of 3,12,35 ,100%,40 out of 41 (bottom third within category),"4,512 out of 4,597 (bottom third of all products)",October 01,2021,https://instagram.com/activat3d_com,,,,,,,,,,,
Mega Bytes,VPN Bytes,https://vpnbytes.com/,Gaming Supplements,"2 gummies
",1.40 out of 3,6,12 ,100%,41 out of 41 (bottom third within category),"4,532 out of 4,597 (bottom third of all products)",March 13,2021,https://instagram.com/vpn_bytes,,,,,,,,,,,
Zinc Defender,Zhou Nutrition,https://www.zhounutrition.com,Immune System Boosters,"1 capsule
",1.65 out of 3,2,25 ,100%,1 out of 69 (top third within category),"928 out of 4,597 (top third of all products)",March 24,2021,https://instagram.com/zhou_nutrition,,,,,,,,,,,
Immunity Complex,Forzagen,https://www.forzagen.com/,Immune System Boosters,"2 capsules
",2.28 out of 3,4,29 ,100%,2 out of 69 (top third within category),"1,034 out of 4,597 (top third of all products)",July 14,2020,https://instagram.com/forzagen,,,,,,,,,,,
TB12 Protect,TB12,https://tb12sports.com,Immune System Boosters,"2 capsules
",2.03 out of 3,5,19 ,100%,3 out of 69 (top third within category),"1,315 out of 4,597 (top third of all products)",August 22,2020,https://instagram.com/tb12sports,,,,,,,,,,,
Immune Relief,SAN Nutrition,https://sann.net/,Immune System Boosters,"2 capsules
",2.03 out of 3,3,32 ,100%,4 out of 69 (top third within category),"1,322 out of 4,597 (top third of all products)",April 10,2021,https://instagram.com/sannation,,,,,,,,,,,
Immune Support XT,Serious Nutrition Solutions,https://seriousnutritionsolutions.com,Immune System Boosters,"3 capsules
",1.97 out of 3,7,26 ,100%,5 out of 69 (top third within category),"1,474 out of 4,597 (top third of all products)",December 26,2020,https://instagram.com/seriousnutritionsolutions,,,,,,,,,,,
BPI Immune Support,BPI Sports,https://bpisports.com/,Immune System Boosters,"2 capsules
",1.93 out of 3,4,34 ,100%,6 out of 69 (top third within category),"1,583 out of 4,597 (middle third of all products)",December 17,2020,https://instagram.com/bpi_sports,BPI Immune Support shares at least 75% of its ingredient profile with 2 other products,,,,,,,,,,
Athletes Immune Support,Kombat Ape,https://kombatape.ca,Immune System Boosters,"3 tablets
",2.35 out of 3,7,19 ,100%,7 out of 69 (top third within category),"2,347 out of 4,597 (middle third of all products)",March 01,2021,https://instagram.com/kombatape,,,,,,,,,,,
Arc Immune,Glaxon,https://www.glaxon.com,Immune System Boosters,"3 capsules
",2.15 out of 3,7,7 ,100%,8 out of 69 (top third within category),"2,430 out of 4,597 (middle third of all products)",August 22,2020,https://instagram.com/iamglaxon,,,,,,,,,,,
Vibrance Immune Health,Ultimate Sports Nutrition,https://usnfit.com/,Immune System Boosters,"2 capsules
",2.08 out of 3,7,30 ,100%,9 out of 69 (top third within category),"2,485 out of 4,597 (middle third of all products)",October 12,2020,https://instagram.com/usnfit,,,,,,,,,,,
Immune Health,1st Phorm,https://1stphorm.com,Immune System Boosters,"4 capsules
",2.03 out of 3,8,17 ,100%,10 out of 69 (top third within category),"2,572 out of 4,597 (middle third of all products)",December 14,2020,https://instagram.com/1stphorm,,,,,,,,,,,
NutraBio Immune,NutraBio,https://www.nutrabio.com/,Immune System Boosters,"3 capsules
",2.01 out of 3,9,26 ,100%,11 out of 69 (top third within category),"2,603 out of 4,597 (middle third of all products)",November 03,2020,https://instagram.com/nutrabio,,,,,,,,,,,
Show Up Everyday,Mom Boss Vitamins,,Immune System Boosters,"2 gummies
",2.00 out of 3,5,32 ,100%,12 out of 69 (top third within category),"2,611 out of 4,597 (middle third of all products)",October 13,2020,,,,,,,,,,,,
Immune Support XR,KetoGenics,https://www.ketoshop.com,Immune System Boosters,"7 capsules
",1.98 out of 3,11,27 ,100%,13 out of 69 (top third within category),"2,663 out of 4,597 (middle third of all products)",July 27,2020,https://instagram.com/ketogenics,,,,,,,,,,,
Alani Nu Immunity Gummies,Alani Nu,https://www.alaninu.com/,Immune System Boosters,"2 gummies
",1.97 out of 3,3,36 ,100%,14 out of 69 (top third within category),"2,685 out of 4,597 (middle third of all products)",July 17,2020,https://instagram.com/alaninutrition,Alani Nu Immunity Gummies shares at least 75% of its ingredient profile with one other product,,,,,,,,,,
Sleep and Immunity,Proper,https://www.getproper.com,Immune System Boosters,"2 capsules
",1.96 out of 3,9,32 ,100%,15 out of 69 (top third within category),"2,688 out of 4,597 (middle third of all products)",October 11,2020,https://instagram.com/get_proper,,,,,,,,,,,
Immunity Mix,Muscle Rulz,https://musclerulz.com,Immune System Boosters,"1 tablet
",1.96 out of 3,7,37 ,100%,16 out of 69 (top third within category),"2,694 out of 4,597 (middle third of all products)",January 31,2022,https://instagram.com/musclerulz,,,,,,,,,,,
Immunity 8-in-1,EarthNutri,https://earthnutri.com,Immune System Boosters,"3 capsules
",1.95 out of 3,8,26 ,100%,17 out of 69 (top third within category),"2,712 out of 4,597 (middle third of all products)",April 04,2021,https://instagram.com/earthnutri,,,,,,,,,,,
Immune Pak,Animal,https://www.animalpak.com/,Immune System Boosters,10.9g,1.95 out of 3,11,31 ,100%,18 out of 69 (top third within category),"2,713 out of 4,597 (middle third of all products)",July 07,2020,https://instagram.com/animalpak,,,,,,,,,,,
Storm Labs Immune Support,Storm Labs,https://www.stormlabsusa.com,Immune System Boosters,"2 capsules
",1.93 out of 3,5,27 ,100%,19 out of 69 (top third within category),"2,759 out of 4,597 (middle third of all products)",December 21,2020,https://instagram.com/stormlabsusa,Storm Labs Immune Support shares at least 75% of its ingredient profile with one other product,,,,,,,,,,
Immunity,Force Factor,https://forcefactor.com,Immune System Boosters,"3 tablets
",1.93 out of 3,16,26 ,100%,20 out of 69 (top third within category),"2,770 out of 4,597 (middle third of all products)",April 02,2021,https://instagram.com/forcefactor,,,,,,,,,,,
Immuneti,Immuneti,https://immuneti.com/,Immune System Boosters,"2 capsules
",1.90 out of 3,5,38 ,60%,21 out of 69 (top third within category),"2,825 out of 4,597 (middle third of all products)",May 26,2020,,,,,,,,,,,,
Resistance,Apollon Nutrition,https://www.apollonnutrition.com/,Immune System Boosters,"7 capsules
",1.89 out of 3,12,27 ,100%,22 out of 69 (top third within category),"2,843 out of 4,597 (middle third of all products)",July 15,2021,https://instagram.com/apollonnutrition,,,,,,,,,,,
Immunity X,Alpha Nutra,https://alphanutrausa.com,Immune System Boosters,"4 capsules
",1.87 out of 3,12,21 ,100%,24 out of 69 (middle third within category),"2,875 out of 4,597 (middle third of all products)",October 12,2020,https://instagram.com/alphanutra,,,,,,,,,,,
Immune Defender,5 Percent Nutrition,https://5percentnutrition.com/,Immune System Boosters,"4 capsules
",1.87 out of 3,11,34 ,100%,25 out of 69 (middle third within category),"2,876 out of 4,597 (middle third of all products)",January 23,2021,https://instagram.com/5percentnutrition,,,,,,,,,,,
Alpha Immune,Performance Enhanced,https://performanceenhancednutrition.com,Immune System Boosters,"2 capsules
",1.87 out of 3,3,37 ,100%,26 out of 69 (middle third within category),"2,880 out of 4,597 (middle third of all products)",April 05,2021,,,,,,,,,,,,
Vida,Ambrosia Collective,https://ambrosiacollective.com,Immune System Boosters,"2 capsules
",1.86 out of 3,6,30 ,100%,27 out of 69 (middle third within category),"2,883 out of 4,597 (middle third of all products)",May 14,2022,https://instagram.com/the_ambrosia_collective,,,,,,,,,,,
Immune Gummies,Bulletproof,https://www.bulletproof.com/,Immune System Boosters,"2 gummies
",1.86 out of 3,5,41 ,100%,28 out of 69 (middle third within category),"2,888 out of 4,597 (middle third of all products)",July 11,2022,https://instagram.com/bulletproof,,,,,,,,,,,
Defend-er,Trec Nutrition,https://trecnutrition.com,Immune System Boosters,"2 capsules
",1.85 out of 3,6,19 ,100%,29 out of 69 (middle third within category),"2,897 out of 4,597 (middle third of all products)",January 31,2022,https://instagram.com/trecnutrition,,,,,,,,,,,
Immune Complex,Bulletproof,https://www.bulletproof.com/,Immune System Boosters,"3 capsules
",1.83 out of 3,4,22 ,50%,30 out of 69 (middle third within category),"2,917 out of 4,597 (middle third of all products)",July 11,2022,https://instagram.com/bulletproof,,,,,,,,,,,
Immun-er,Trec Nutrition,https://trecnutrition.com,Immune System Boosters,6g,1.82 out of 3,10,26 ,100%,31 out of 69 (middle third within category),"2,932 out of 4,597 (middle third of all products)",January 31,2022,https://instagram.com/trecnutrition,,,,,,,,,,,
Primal Immunity,Awakened Labz,https://awakenedlabz.com,Immune System Boosters,"1 capsule
",1.80 out of 3,5,33 ,100%,32 out of 69 (middle third within category),"2,957 out of 4,597 (middle third of all products)",October 03,2020,https://instagram.com/awakenedlabz,,,,,,,,,,,
No Sick Days,Higher Nutrition,https://www.highernutritiontx.store,Immune System Boosters,"2 capsules
",1.80 out of 3,4,8 ,100%,33 out of 69 (middle third within category),"2,959 out of 4,597 (middle third of all products)",April 08,2021,https://instagram.com/highernutritionsupps,,,,,,,,,,,
Gag,Get Nude Supplements,https://getnudesupplements.com,Immune System Boosters,5.2g,1.80 out of 3,10,31 ,100%,34 out of 69 (middle third within category),"2,966 out of 4,597 (middle third of all products)",January 23,2021,https://instagram.com/getnudesupplements,,,,,,,,,,,
Accovit Immune,ROS Nutrition,https://www.rosnutrition.com,Immune System Boosters,"2 tablets
",1.80 out of 3,14,21 ,100%,35 out of 69 (middle third within category),"2,973 out of 4,597 (middle third of all products)",January 04,2022,https://instagram.com/rosnutrition,,,,,,,,,,,
BCN Immunity,BCN Supplements,https://bcnsupps.com,Immune System Boosters,"2 capsules
",1.79 out of 3,7,36 ,100%,36 out of 69 (middle third within category),"2,981 out of 4,597 (middle third of all products)",February 27,2021,https://instagram.com/bcnsupplements,,,,,,,,,,,
Battle Onn,Onnor,https://onnor.co,Immune System Boosters,"3 capsules
",1.78 out of 3,7,27 ,100%,37 out of 69 (middle third within category),"2,991 out of 4,597 (middle third of all products)",August 09,2020,https://instagram.com/onnor,,,,,,,,,,,
Immune-1,InnovaPharm,https://innovapharm.com/,Immune System Boosters,"6 capsules
",1.77 out of 3,11,22 ,100%,38 out of 69 (middle third within category),"3,003 out of 4,597 (middle third of all products)",April 08,2021,https://instagram.com/innovapharm,,,,,,,,,,,
Bowmar Nutrition Immunity Support,Bowmar Nutrition,https://bowmarnutrition.com/,Immune System Boosters,9.8g,1.74 out of 3,10,23 ,100%,39 out of 69 (middle third within category),"3,035 out of 4,597 (middle third of all products)",November 26,2020,https://instagram.com/bowmar_nutrition,,,,,,,,,,,
Immune-C,Universal Nutrition,https://www.universalusa.com/,Immune System Boosters,2.71g,1.73 out of 3,7,34 ,100%,40 out of 69 (middle third within category),"3,046 out of 4,597 (middle third of all products)",July 12,2020,https://instagram.com/universalusa,,,,,,,,,,,
Immune Defence,Per4m Nutrition,https://per4mbetter.com,Immune System Boosters,6g,1.71 out of 3,10,26 ,100%,41 out of 69 (middle third within category),"3,069 out of 4,597 (bottom third of all products)",April 07,2021,https://instagram.com/per4mbetter,,,,,,,,,,,
Vitality Immune Defence,Alpha Sports Nutrition,https://alphasports.co.za/,Immune System Boosters,"2 capsules
",1.70 out of 3,3,31 ,100%,42 out of 69 (middle third within category),"3,071 out of 4,597 (bottom third of all products)",December 26,2020,https://instagram.com/alphasportsnutrition,,,,,,,,,,,
Shield Immunity Plus,Perfect Sports,https://perfectsports.com,Immune System Boosters,5g,1.66 out of 3,9,30 ,100%,43 out of 69 (middle third within category),"3,098 out of 4,597 (bottom third of all products)",August 22,2020,https://instagram.com/perfectsportstm,,,,,,,,,,,
Immuno,Swedish Supplements,http://www.swedish-supplements.com,Immune System Boosters,15g,1.65 out of 3,6,25 ,100%,44 out of 69 (middle third within category),"3,105 out of 4,597 (bottom third of all products)",March 26,2021,https://instagram.com/swedishsupplements,,,,,,,,,,,
Vita C Immune Support,MRI Performance,http://mri-performance.com/,Immune System Boosters,6.5g,1.63 out of 3,16,27 ,100%,45 out of 69 (middle third within category),"3,110 out of 4,597 (bottom third of all products)",October 03,2020,https://instagram.com/mriperformance,,,,,,,,,,,
Immune Health Support,Apex Sport,https://getapexsport.com,Immune System Boosters,"1 scoop
",1.63 out of 3,14,31 ,100%,46 out of 69 (bottom third within category),"3,771 out of 4,597 (bottom third of all products)",February 14,2021,https://instagram.com/apex_sport,,,,,,,,,,,
First Response,NutraBio,https://www.nutrabio.com/,Immune System Boosters,4.49g,1.62 out of 3,6,32 ,100%,47 out of 69 (bottom third within category),"3,791 out of 4,597 (bottom third of all products)",November 03,2020,https://instagram.com/nutrabio,,,,,,,,,,,
Proven Immunity,Gaspari Nutrition,https://gasparinutrition.com,Immune System Boosters,5g,1.57 out of 3,4,29 ,100%,48 out of 69 (bottom third within category),"3,880 out of 4,597 (bottom third of all products)",October 19,2020,https://instagram.com/gaspari,,,,,,,,,,,
Immunity 4-in-1,EarthNutri,https://earthnutri.com,Immune System Boosters,"2 capsules
",1.57 out of 3,4,29 ,100%,49 out of 69 (bottom third within category),"3,884 out of 4,597 (bottom third of all products)",April 04,2021,https://instagram.com/earthnutri,,,,,,,,,,,
Immune Definition,Sport Definition,,Immune System Boosters,1.5g,1.57 out of 3,5,23 ,100%,50 out of 69 (bottom third within category),"3,885 out of 4,597 (bottom third of all products)",March 28,2021,https://instagram.com/sportdefinition,,,,,,,,,,,
Immune-AF,Steel Supplements,https://steelsupplements.com/,Immune System Boosters,"3 capsules
",1.56 out of 3,24,16 ,100%,51 out of 69 (bottom third within category),"3,893 out of 4,597 (bottom third of all products)",December 21,2020,https://instagram.com/steelsupplements,,,,,,,,,,,
Immune,Kion,https://getkion.com,Immune System Boosters,"1 capsule
",1.55 out of 3,2,37 ,100%,52 out of 69 (bottom third within category),"3,908 out of 4,597 (bottom third of all products)",May 17,2022,https://instagram.com/kion,,,,,,,,,,,
Cured,FlexTech Nutrition,https://www.flextechnutrition.com,Immune System Boosters,5g,1.53 out of 3,4,42 ,100%,53 out of 69 (bottom third within category),"3,935 out of 4,597 (bottom third of all products)",March 25,2021,https://instagram.com/flextech_nutrition,,,,,,,,,,,
Ultimate Immune RX,AO Nutrition,http://www.aonutrition.co/,Immune System Boosters,"2 gummies
",1.52 out of 3,15,28 ,100%,54 out of 69 (bottom third within category),"3,938 out of 4,597 (bottom third of all products)",July 08,2020,,Ultimate Immune RX shares at least 75% of its ingredient profile with one other product,,,,,,,,,,
Immunity,Breakthrough Labz,https://breakthroughlabz.com,Immune System Boosters,"4 capsules
",1.89 out of 3,16,26 ,47%,56 out of 69 (bottom third within category),"4,132 out of 4,597 (bottom third of all products)",January 23,2022,https://instagram.com/breakthrough_labz,,,,,,,,,,,
TR Immune Defense,True Recovery Supplements,http://www.truerecoverysupplements.com/,Immune System Boosters,"2 capsules
",1.86 out of 3,11,16 ,18%,57 out of 69 (bottom third within category),"4,153 out of 4,597 (bottom third of all products)",October 11,2020,https://instagram.com/trsupplements,TR Immune Defense shares at least 75% of its ingredient profile with one other product,,,,,,,,,,
Daily Immune Defender,BodyHealth,https://bodyhealth.com/,Immune System Boosters,"2 capsules
",1.86 out of 3,11,16 ,18%,58 out of 69 (bottom third within category),"4,156 out of 4,597 (bottom third of all products)",July 12,2020,,Daily Immune Defender shares at least 75% of its ingredient profile with one other product,,,,,,,,,,
1MMUNE,1 Mission Nutrition,https://1missionnutrition.com/,Immune System Boosters,"2 capsules
",1.85 out of 3,24,17 ,75%,59 out of 69 (bottom third within category),"4,168 out of 4,597 (bottom third of all products)",July 14,2020,https://instagram.com/1missionnutrition,,,,,,,,,,,
Lean 1 Immunity,Nutrition53,https://www.nutrition53.com,Immune System Boosters,"2 capsules
",1.77 out of 3,7,30 ,57%,60 out of 69 (bottom third within category),"4,232 out of 4,597 (bottom third of all products)",November 30,2020,https://instagram.com/nutrition53,Lean 1 Immunity shares at least 75% of its ingredient profile with one other product,,,,,,,,,,
UMZU Immune,UMZU,https://umzu.com/,Immune System Boosters,"2 capsules
",1.69 out of 3,7,34 ,57%,61 out of 69 (bottom third within category),"4,319 out of 4,597 (bottom third of all products)",May 28,2020,,UMZU Immune shares at least 75% of its ingredient profile with one other product,,,,,,,,,,
Immune Stack,Stacker2 Europe,https://www.stacker2europe.com,Immune System Boosters,"1 capsule
",1.66 out of 3,15,18 ,27%,62 out of 69 (bottom third within category),"4,368 out of 4,597 (bottom third of all products)",January 17,2021,https://instagram.com/stacker2europe,,,,,,,,,,,
SuperHuman Immunity,Enhanced Labs,https://getenhanced.shop,Immune System Boosters,"3 capsules
",1.65 out of 3,26,18 ,69%,63 out of 69 (bottom third within category),"4,369 out of 4,597 (bottom third of all products)",March 22,2021,https://instagram.com/enhancedlabs.official,,,,,,,,,,,
Daily Immune Support,5 Hour Energy,https://5hourenergy.com,Immune System Boosters,1.93fl-oz,1.63 out of 3,13,38 ,54%,64 out of 69 (bottom third within category),"4,406 out of 4,597 (bottom third of all products)",December 24,2021,https://instagram.com/5hourenergy,,,,,,,,,,,
Year Round Immunity,SNC Supplements,http://www.uksnc.co.uk,Immune System Boosters,"1 capsule
",1.58 out of 3,16,22 ,88%,65 out of 69 (bottom third within category),"4,443 out of 4,597 (bottom third of all products)",May 19,2022,https://instagram.com/snc_supplements_,,,,,,,,,,,
PNG Immunity Boost,Pinnacle Nutrition Group,https://www.pinnaclenutritiongroup.com,Immune System Boosters,"1 pack
",1.44 out of 3,5,31 ,100%,66 out of 69 (bottom third within category),"4,515 out of 4,597 (bottom third of all products)",December 12,2020,https://instagram.com/png_living,,,,,,,,,,,
Immune Daily RX,Dragon Pharma Labs,https://dragonpharmalabs.com/,Immune System Boosters,"2 capsules
",1.00 out of 3,4,6 ,100%,67 out of 69 (bottom third within category),"4,561 out of 4,597 (bottom third of all products)",July 25,2021,https://instagram.com/dragonpharma_llc,,,,,,,,,,,
SWFT Immunity Support,SWFT,https://swftstims.com,Immune System Boosters,"3 capsules
",1.49 out of 3,14,23 ,71%,68 out of 69 (bottom third within category),"4,564 out of 4,597 (bottom third of all products)",October 03,2020,https://instagram.com/swftstim,,,,,,,,,,,
Immune Plus,Project AD,https://www.projectad.me/,Immune System Boosters,"4 capsules
",1.48 out of 3,20,28 ,45%,69 out of 69 (bottom third within category),"4,568 out of 4,597 (bottom third of all products)",July 10,2020,https://instagram.com/projectadofficial,,,,,,,,,,,
Cluster Bomb,REDCON1,,Intra-Workout Supplements,27.5g,3.00 out of 3,1,20 ,100%,1 out of 305 (top third within category),"31 out of 4,597 (top third of all products)",April 26,2019,https://instagram.com/redcon1,,,,,,,,,,,
Locked Down,Condemned Labz,https://condemnedlabz.com/,Intra-Workout Supplements,10.4g,2.30 out of 3,3,76 ,100%,2 out of 305 (top third within category),"189 out of 4,597 (top third of all products)",June 02,2019,https://instagram.com/condemnedlabz,,,,,,,,,,,
HYDRO BCAA Energy,Pro Supps,https://www.prosupps.com,Intra-Workout Supplements,13.8g,2.13 out of 3,4,76 ,100%,3 out of 305 (top third within category),"206 out of 4,597 (top third of all products)",March 29,2021,https://instagram.com/prosupps,HYDRO BCAA Energy shares at least 75% of its ingredient profile with one other product,,,,,,,,,,
Clean BCAA,Clean Machine,https://cleanmachineonline.com/,Intra-Workout Supplements,7.2g,1.88 out of 3,4,54 ,100%,4 out of 305 (top third within category),"243 out of 4,597 (top third of all products)",March 08,2020,,Clean BCAA shares at least 75% of its ingredient profile with 3 other products,,,,,,,,,,
Carb X,Applied Nutrition,https://www.appliednutrition.uk/,Intra-Workout Supplements,25g,3.00 out of 3,2,10 ,100%,5 out of 305 (top third within category),"287 out of 4,597 (top third of all products)",January 02,2021,https://instagram.com/appliednutrition.uk,,,,,,,,,,,
Breaker-ade,PR-Breaker,https://www.prbreaker.com,Intra-Workout Supplements,37.75g,2.65 out of 3,5,30 ,100%,6 out of 305 (top third within category),"304 out of 4,597 (top third of all products)",January 02,2021,https://instagram.com/pr_breaker,,,,,,,,,,,
Karb Fuel,Conteh Sports,https://contehsports.com,Intra-Workout Supplements,31.5g,2.60 out of 3,6,22 ,100%,7 out of 305 (top third within category),"311 out of 4,597 (top third of all products)",March 26,2021,https://instagram.com/contehsports,,,,,,,,,,,
GlycerGrow 2,Controlled Labs,https://www.controlledlabs.com,Intra-Workout Supplements,3.91g,2.38 out of 3,4,56 ,100%,8 out of 305 (top third within category),"435 out of 4,597 (top third of all products)",March 31,2021,https://instagram.com/controlledlabs,,,,,,,,,,,
Sustain,Trained By JP Nutrition,https://tb-jp.com,Intra-Workout Supplements,30g,2.29 out of 3,9,41 ,100%,9 out of 305 (top third within category),"457 out of 4,597 (top third of all products)",December 31,2020,https://instagram.com/tbjpnutrition,,,,,,,,,,,
Field Rations,1st Detachment Nutrition,https://1stdetachmentnutrition.com,Intra-Workout Supplements,43.4g,2.25 out of 3,14,27 ,100%,10 out of 305 (top third within category),"481 out of 4,597 (top third of all products)",May 05,2022,https://instagram.com/1stdetachmentnutrition,,,,,,,,,,,
Raw Intra Workout,Raw Nutrition,https://getrawnutrition.com,Intra-Workout Supplements,16.5g,2.22 out of 3,10,30 ,100%,11 out of 305 (top third within category),"487 out of 4,597 (top third of all products)",August 01,2020,https://instagram.com/ragenutrition,,,,,,,,,,,
Raw Intra-Workout,Raw Nutrition,https://getrawnutrition.com,Intra-Workout Supplements,30g,2.20 out of 3,6,31 ,100%,12 out of 305 (top third within category),"495 out of 4,597 (top third of all products)",May 08,2022,https://instagram.com/getrawnutrition,,,,,,,,,,,
Breach,REDCON1,https://redcon1.com/,Intra-Workout Supplements,11.5g,2.20 out of 3,6,52 ,100%,13 out of 305 (top third within category),"503 out of 4,597 (top third of all products)",March 22,2020,https://instagram.com/redcon1,,,,,,,,,,,
Essential AF,Dynamic Evolution,https://www.thedynamicevolution.com,Intra-Workout Supplements,9.2g,2.17 out of 3,3,36 ,100%,14 out of 305 (top third within category),"517 out of 4,597 (top third of all products)",May 22,2022,https://instagram.com/thedynamicevolution,,,,,,,,,,,
Intra,DNA Sports,https://www.dnaoutlet.co.uk,Intra-Workout Supplements,50g,2.16 out of 3,7,48 ,71%,16 out of 305 (top third within category),"526 out of 4,597 (top third of all products)",March 09,2021,https://instagram.com/dnasportsworldwide,,,,,,,,,,,
Cannibal Carna,Chaos and Pain,https://www.chaosandpain.com,Intra-Workout Supplements,9g,2.16 out of 3,5,47 ,100%,17 out of 305 (top third within category),"530 out of 4,597 (top third of all products)",December 07,2020,https://instagram.com/chaosandpain,,,,,,,,,,,
BCAA Strong Energy,Maximum Human Performance,https://mhpstrong.com/,Intra-Workout Supplements,8.1g,2.15 out of 3,5,49 ,100%,18 out of 305 (top third within category),"537 out of 4,597 (top third of all products)",June 19,2020,https://instagram.com/mhpsupps,,,,,,,,,,,
Myoprime,ATP Lab,https://atplab.com,Intra-Workout Supplements,7g,2.14 out of 3,5,59 ,100%,19 out of 305 (top third within category),"544 out of 4,597 (top third of all products)",October 07,2020,https://instagram.com/atp_labs,,,,,,,,,,,
Stars N Pipes,Merica Labz,https://www.mericalabz.com,Intra-Workout Supplements,20.3g,2.13 out of 3,3,49 ,100%,20 out of 305 (top third within category),"547 out of 4,597 (top third of all products)",June 23,2019,https://instagram.com/mericalabz,,,,,,,,,,,
